Date,TxType,Value
2021-02-07,RTGS-Vol,0.25
2021-02-08,RTGS-Vol,7.39
2021-02-09,RTGS-Vol,7.11
2021-02-10,RTGS-Vol,7.04
2021-02-11,RTGS-Vol,6.82
2021-02-12,RTGS-Vol,7.45
2021-02-13,RTGS-Vol,0.73
2021-02-14,RTGS-Vol,0.21
2021-02-15,RTGS-Vol,8.53
2021-02-16,RTGS-Vol,7.3
2021-02-17,RTGS-Vol,7.16
2021-02-18,RTGS-Vol,7.09
2021-02-19,RTGS-Vol,5.77
2021-02-20,RTGS-Vol,5.98
2021-02-21,RTGS-Vol,0.24
2021-02-22,RTGS-Vol,7.69
2021-02-23,RTGS-Vol,7.4
2021-02-24,RTGS-Vol,7.15
2021-02-25,RTGS-Vol,7.65
2021-02-26,RTGS-Vol,8.19
2021-02-27,RTGS-Vol,1.07
2021-02-28,RTGS-Vol,0.33
2021-03-01,RTGS-Vol,9.31
2021-03-02,RTGS-Vol,7.73
2021-03-03,RTGS-Vol,7.49
2021-03-04,RTGS-Vol,7.21
2021-03-05,RTGS-Vol,7.29
2021-03-06,RTGS-Vol,6.07
2021-03-07,RTGS-Vol,0.28
2021-03-08,RTGS-Vol,7.49
2021-03-09,RTGS-Vol,7.73
2021-03-10,RTGS-Vol,8.2
2021-03-11,RTGS-Vol,2.43
2021-03-12,RTGS-Vol,10.22
2021-03-13,RTGS-Vol,0.96
2021-03-14,RTGS-Vol,0.27
2021-03-15,RTGS-Vol,5.14
2021-03-16,RTGS-Vol,4.22
2021-03-17,RTGS-Vol,10.97
2021-03-18,RTGS-Vol,8.78
2021-03-19,RTGS-Vol,8.54
2021-03-20,RTGS-Vol,7.19
2021-03-21,RTGS-Vol,0.33
2021-03-22,RTGS-Vol,8.76
2021-03-23,RTGS-Vol,8.94
2021-03-24,RTGS-Vol,9.03
2021-03-25,RTGS-Vol,9.85
2021-03-26,RTGS-Vol,10.87
2021-03-27,RTGS-Vol,1.25
2021-03-28,RTGS-Vol,0.33
2021-03-29,RTGS-Vol,2.98
2021-03-30,RTGS-Vol,11.41
2021-03-31,RTGS-Vol,11.06
2021-04-01,RTGS-Vol,0.49
2021-04-02,RTGS-Vol,2.48
2021-04-03,RTGS-Vol,8.3
2021-04-04,RTGS-Vol,0.33
2021-04-05,RTGS-Vol,8.12
2021-04-06,RTGS-Vol,6.9
2021-04-07,RTGS-Vol,7.39
2021-04-08,RTGS-Vol,7.08
2021-04-09,RTGS-Vol,8.01
2021-04-10,RTGS-Vol,0.88
2021-04-11,RTGS-Vol,0.28
2021-04-12,RTGS-Vol,9.92
2021-04-13,RTGS-Vol,4.82
2021-04-14,RTGS-Vol,1.21
2021-04-15,RTGS-Vol,8.49
2021-04-16,RTGS-Vol,7.52
2021-04-17,RTGS-Vol,5.3
2021-04-18,RTGS-Vol,0.21
2021-04-19,RTGS-Vol,7.29
2021-04-20,RTGS-Vol,6.9
2021-04-21,RTGS-Vol,3.0
2021-04-22,RTGS-Vol,7.03
2021-04-23,RTGS-Vol,6.51
2021-04-24,RTGS-Vol,0.77
2021-04-25,RTGS-Vol,0.23
2021-04-26,RTGS-Vol,7.24
2021-04-27,RTGS-Vol,6.55
2021-04-28,RTGS-Vol,5.96
2021-04-29,RTGS-Vol,5.83
2021-04-30,RTGS-Vol,6.48
2021-05-01,RTGS-Vol,1.58
2021-05-02,RTGS-Vol,0.27
2021-05-03,RTGS-Vol,5.99
2021-05-04,RTGS-Vol,5.5
2021-05-05,RTGS-Vol,5.31
2021-05-06,RTGS-Vol,5.17
2021-05-07,RTGS-Vol,5.62
2021-05-08,RTGS-Vol,0.81
2021-05-09,RTGS-Vol,0.27
2021-05-10,RTGS-Vol,6.69
2021-05-11,RTGS-Vol,5.56
2021-05-12,RTGS-Vol,5.31
2021-05-13,RTGS-Vol,4.21
2021-05-14,RTGS-Vol,2.36
2021-05-15,RTGS-Vol,4.16
2021-05-16,RTGS-Vol,0.26
2021-05-17,RTGS-Vol,5.63
2021-05-18,RTGS-Vol,4.88
2021-05-19,RTGS-Vol,4.94
2021-05-20,RTGS-Vol,4.87
2021-05-21,RTGS-Vol,5.34
2021-05-22,RTGS-Vol,0.8
2021-05-23,RTGS-Vol,0.27
2021-05-24,RTGS-Vol,6.66
2021-05-25,RTGS-Vol,5.77
2021-05-26,RTGS-Vol,3.09
2021-05-27,RTGS-Vol,5.81
2021-05-28,RTGS-Vol,5.53
2021-05-29,RTGS-Vol,3.8
2021-05-30,RTGS-Vol,0.31
2021-05-31,RTGS-Vol,6.56
2021-06-01,RTGS-Vol,5.43
2021-06-02,RTGS-Vol,5.42
2021-06-03,RTGS-Vol,5.25
2021-06-04,RTGS-Vol,5.59
2021-06-05,RTGS-Vol,4.04
2021-06-06,RTGS-Vol,0.31
2021-06-07,RTGS-Vol,6.5
2021-06-08,RTGS-Vol,5.93
2021-06-09,RTGS-Vol,5.8
2021-06-10,RTGS-Vol,5.94
2021-06-11,RTGS-Vol,6.41
2021-06-12,RTGS-Vol,0.9
2021-06-13,RTGS-Vol,0.28
2021-06-14,RTGS-Vol,8.03
2021-06-15,RTGS-Vol,6.67
2021-06-16,RTGS-Vol,6.35
2021-06-17,RTGS-Vol,5.92
2021-06-18,RTGS-Vol,6.37
2021-06-19,RTGS-Vol,4.57
2021-06-20,RTGS-Vol,0.3
2021-06-21,RTGS-Vol,6.89
2021-06-22,RTGS-Vol,6.29
2021-06-23,RTGS-Vol,6.44
2021-06-24,RTGS-Vol,6.14
2021-06-25,RTGS-Vol,7.0
2021-06-26,RTGS-Vol,0.98
2021-06-27,RTGS-Vol,0.29
2021-06-28,RTGS-Vol,8.69
2021-06-29,RTGS-Vol,7.44
2021-06-30,RTGS-Vol,7.97
2021-07-01,RTGS-Vol,6.18
2021-07-02,RTGS-Vol,6.29
2021-07-03,RTGS-Vol,4.58
2021-07-04,RTGS-Vol,0.38
2021-07-05,RTGS-Vol,7.09
2021-07-06,RTGS-Vol,6.55
2021-07-07,RTGS-Vol,6.68
2021-07-08,RTGS-Vol,6.23
2021-07-09,RTGS-Vol,7.13
2021-07-10,RTGS-Vol,1.01
2021-07-11,RTGS-Vol,0.3
2021-07-12,RTGS-Vol,8.29
2021-07-13,RTGS-Vol,6.92
2021-07-14,RTGS-Vol,6.75
2021-07-15,RTGS-Vol,6.59
2021-07-16,RTGS-Vol,6.5
2021-07-17,RTGS-Vol,4.97
2021-07-18,RTGS-Vol,0.31
2021-07-19,RTGS-Vol,7.11
2021-07-20,RTGS-Vol,7.09
2021-07-21,RTGS-Vol,1.62
2021-07-22,RTGS-Vol,7.66
2021-07-23,RTGS-Vol,7.25
2021-07-24,RTGS-Vol,0.98
2021-07-25,RTGS-Vol,0.29
2021-07-26,RTGS-Vol,8.72
2021-07-27,RTGS-Vol,7.29
2021-07-28,RTGS-Vol,7.07
2021-07-29,RTGS-Vol,6.85
2021-07-30,RTGS-Vol,7.24
2021-07-31,RTGS-Vol,5.74
2021-08-01,RTGS-Vol,0.36
2021-08-02,RTGS-Vol,7.08
2021-08-03,RTGS-Vol,6.52
2021-08-04,RTGS-Vol,6.5
2021-08-05,RTGS-Vol,6.56
2021-08-06,RTGS-Vol,6.54
2021-08-07,RTGS-Vol,5.19
2021-08-08,RTGS-Vol,0.35
2021-08-09,RTGS-Vol,7.28
2021-08-10,RTGS-Vol,7.09
2021-08-11,RTGS-Vol,6.81
2021-08-12,RTGS-Vol,6.76
2021-08-13,RTGS-Vol,7.29
2021-08-14,RTGS-Vol,1.07
2021-08-15,RTGS-Vol,0.28
2021-08-16,RTGS-Vol,7.13
2021-08-17,RTGS-Vol,8.11
2021-08-18,RTGS-Vol,7.55
2021-08-19,RTGS-Vol,5.83
2021-08-20,RTGS-Vol,4.14
2021-08-21,RTGS-Vol,6.02
2021-08-22,RTGS-Vol,0.29
2021-08-23,RTGS-Vol,6.58
2021-08-24,RTGS-Vol,7.41
2021-08-25,RTGS-Vol,7.18
2021-08-26,RTGS-Vol,7.0
2021-08-27,RTGS-Vol,7.94
